,"Acero malla electrosoldada D2.9 x D2.9, 20 x 20,Rollo 2.4x40 m.",ROLLO,"RD$14,932.05","RD$12,654.28",3.11qq - Area=96M2,MINIBANNER CON LINK
,Alambre Galvanizado Calibre 18 (Varillas),LB,RD$90.00,RD$76.27,,MINIBANNER CON LINK
,Alambre Galvanizado Calibre 14 (Encofrados),LB,RD$90.00,RD$76.27,,MINIBANNER CON LINK
,Clavos de zinc,LB,RD$75.00,RD$63.56,,MINIBANNER CON LINK
,Clavos Corrientes,LB,RD$55.00,RD$46.61,,MINIBANNER CON LINK
,Clavos de Acero,LB,RD$80.00,RD$67.80,,MINIBANNER CON LINK
,,,,,,
,LETREROS DE OBRAS,,,,,
,"Arte, impresión y colocación vinil para letrero",UND,"RD$48,000.00","RD$40,677.97",,MINIBANNER CON LINK
,Estructura metálica para letrero obra,UND,"RD$57,000.00","RD$48,305.08",,MINIBANNER CON LINK
,,,,,,
,FUMIGACION DE EXCAVACIONES/FUNDACIONES,,,,,
,Fumigación general de excavaciones,M2,RD$192.00,RD$162.71,,MINIBANNER CON LINK
,,,,,,
,MADERAS Y CARPINTERIA,,,,,
,Madera bruta pino americano,PT,RD$169.00,RD$143.22,,MINIBANNER CON LINK
,Madera cepillada pino americano,PT,RD$169.00,RD$143.22,,MINIBANNER CON LINK
,Madera bruta pino americano tratado,PT,RD$175.00,RD$148.31,,MINIBANNER CON LINK
,Madera cepillada pino americano tratado,PT,RD$175.00,RD$148.31,,MINIBANNER CON LINK
,Madera bruta pino chileno,PT,RD$156.00,RD$132.20,,MINIBANNER CON LINK
,Madera cepillada pino chileno,PT,RD$156.00,RD$132.20,,MINIBANNER CON LINK
,Madera sintética color Marrón oscuro 150mm x 25mm x 5.8m,UND,"RD$2,100.00","RD$1,779.66",,Plasticos Comerciales - Materiales generales
,Madera sintética color Café 145mm x 25mm x 5.8m,UND,"RD$1,900.00","RD$1,610.17",,Plasticos Comerciales - Materiales generales
,Madera sintética color Roja  100mm x 17mm x 5.8m,UND,"RD$1,500.00","RD$1,271.19",,Plasticos Comerciales - Materiales generales
,Madera sintética color Roble Colourmix  147mm x 25mm x 5.8m,UND,"RD$2,600.00","RD$2,203.39",,Plasticos Comerciales - Materiales generales
